<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20160104,100000,101.0000000,101.7800000,100.5800000,101.1400000,4804770
SBER,60,20160104,110000,101.1700000,101.1700000,98.3100000,98.7400000,15729010
SBER,60,20160104,120000,98.7000000,98.8600000,98.2000000,98.6100000,6647790
SBER,60,20160104,130000,98.6600000,98.9500000,98.5000000,98.8700000,3256700
SBER,60,20160104,140000,98.9000000,99.0400000,98.3500000,98.6700000,4467970
SBER,60,20160104,150000,98.6700000,98.7500000,98.4000000,98.4700000,2240140
SBER,60,20160104,160000,98.4600000,98.8500000,98.3700000,98.5800000,3349950
SBER,60,20160104,170000,98.6400000,98.7000000,98.3000000,98.5300000,3950070
SBER,60,20160104,180000,98.5300000,98.6000000,97.9400000,98.0100000,6737590
SBER,60,20160105,100000,97.9400000,99.2400000,97.8100000,98.6100000,8180650
SBER,60,20160105,110000,98.6100000,98.9900000,98.2100000,98.2800000,6148830
SBER,60,20160105,120000,98.2800000,98.5000000,98.0100000,98.2700000,3558440
SBER,60,20160105,130000,98.2700000,98.3400000,97.2900000,97.5000000,6178210
SBER,60,20160105,140000,97.5100000,97.6800000,97.2500000,97.5500000,2503890
SBER,60,20160105,150000,97.5500000,97.5500000,97.1600000,97.4800000,2959990
SBER,60,20160105,160000,97.4900000,98.8000000,97.3900000,98.1200000,7297190
SBER,60,20160105,170000,98.1600000,98.2900000,97.7900000,98.2000000,3771820
SBER,60,20160105,180000,98.2100000,99.2000000,98.0700000,98.8900000,8398350
SBER,60,20160106,100000,98.7200000,99.5600000,98.6000000,98.9400000,5996000
SBER,60,20160106,110000,98.9700000,99.0400000,98.3100000,98.6400000,3652170
SBER,60,20160106,120000,98.6300000,98.7700000,98.2000000,98.4000000,1965290
SBER,60,20160106,130000,98.4200000,98.5900000,97.8000000,97.8900000,3797440
SBER,60,20160106,140000,97.9100000,97.9800000,97.6400000,97.8500000,2582010
SBER,60,20160106,150000,97.8500000,98.3000000,97.6700000,98.1600000,2416100
SBER,60,20160106,160000,98.2000000,98.2000000,97.5700000,97.8800000,3231470
SBER,60,20160106,170000,97.8500000,97.9900000,97.5000000,97.5600000,5218480
SBER,60,20160106,180000,97.5600000,97.5600000,96.8300000,96.8500000,11829220
SBER,60,20160111,100000,93.7000000,94.8900000,92.6000000,93.5800000,22533090
SBER,60,20160111,110000,93.5700000,94.0000000,92.8100000,93.2900000,12085560
SBER,60,20160111,120000,93.2900000,93.5100000,93.0000000,93.1600000,4365920
SBER,60,20160111,130000,93.1400000,93.2000000,92.6000000,92.8800000,6859020
SBER,60,20160111,140000,92.8700000,93.0700000,92.2500000,92.4600000,7603730
SBER,60,20160111,150000,92.4300000,92.7800000,92.3500000,92.6100000,2814610
SBER,60,20160111,160000,92.6100000,92.6400000,92.1500000,92.4000000,9589340
SBER,60,20160111,170000,92.3800000,92.7400000,92.1100000,92.2200000,5216620
SBER,60,20160111,180000,92.2200000,92.2700000,91.0100000,91.0300000,14720430
SBER,60,20160112,100000,89.5000000,90.0000000,88.5200000,89.4100000,23957860
SBER,60,20160112,110000,89.4500000,91.4200000,89.3900000,91.0600000,18602430
SBER,60,20160112,120000,91.0500000,92.2800000,90.8800000,92.1300000,15181720
SBER,60,20160112,130000,92.1200000,92.8800000,91.5100000,92.7400000,12443350
SBER,60,20160112,140000,92.7500000,92.7700000,91.8800000,91.9600000,9056930
SBER,60,20160112,150000,91.9900000,92.3500000,91.6100000,92.0000000,6225950
SBER,60,20160112,160000,92.0100000,92.7500000,91.8300000,92.5900000,7533830
SBER,60,20160112,170000,92.6100000,92.7200000,92.1700000,92.4600000,7173400
SBER,60,20160112,180000,92.4800000,92.5500000,91.6400000,91.7100000,9603480
SBER,60,20160113,100000,92.7000000,93.6400000,92.3600000,93.3600000,16469040
SBER,60,20160113,110000,93.3500000,93.8800000,92.9000000,93.3100000,15503500
SBER,60,20160113,120000,93.3100000,93.3600000,92.5000000,92.6500000,7655900
SBER,60,20160113,130000,92.6500000,93.2900000,92.6500000,93.1900000,4705860
SBER,60,20160113,140000,93.2000000,93.3700000,92.7500000,92.7600000,3151780
SBER,60,20160113,150000,92.7600000,93.1800000,92.7100000,93.0800000,2706100
SBER,60,20160113,160000,93.0800000,93.4200000,92.8400000,93.1200000,5045120
SBER,60,20160113,170000,93.1300000,93.2300000,92.6500000,92.9500000,5008780
SBER,60,20160113,180000,92.9200000,92.9700000,91.2500000,91.5000000,13754670
SBER,60,20160114,100000,90.9800000,91.8700000,90.5800000,91.6900000,10362190
SBER,60,20160114,110000,91.6900000,91.7300000,91.0500000,91.4200000,8690080
SBER,60,20160114,120000,91.4300000,91.6500000,90.3700000,91.5200000,12972200
SBER,60,20160114,130000,91.4900000,91.4900000,91.0100000,91.2000000,3635190
SBER,60,20160114,140000,91.1900000,91.2200000,90.7000000,91.0200000,4014540
SBER,60,20160114,150000,90.9600000,92.2400000,90.8800000,91.9800000,7770120
SBER,60,20160114,160000,91.9900000,92.5200000,91.5000000,92.2400000,10728810
SBER,60,20160114,170000,92.2800000,92.5000000,91.2500000,91.3000000,8136790
SBER,60,20160114,180000,91.3200000,93.1500000,91.0400000,93.0400000,14652600
